Pleknaam	Historical Name	(GvH) Opmerking	(GvH) Wisselvorme	(GvH) Land	Province	(GvH) Kategorie	Description	latitude	longitude
Bobididi				RSA	Limpopo	Gebied	Land Development	-24.833333	30.076111
Bochum				RSA	Limpopo	Dorp	Town	-23.2702777777778	29.1261111111111
Bodiam				RSA	Eastern Cape	Dorp	Group of huts	-33.2511111111111	27.4302777777778
Boekenhouthoek				RSA	Mpumalanga	Nedersetting	Town	-25.3075	29.0191666666667
Boesmansriviermond				RSA	Eastern Cape	Baai	Urban Area	-33.6852777777778	26.6552777777778
Boetsap				RSA	Northern Cape	Dorp	Group of huts	-27.9727777777778	24.4522222222222
Bohlokong				RSA	Limpopo	Gebied-Dorp	Kop	-24.1261111111111	30.1402777777778
Boikhutsong				RSA	Gauteng	Nedersetting	Group of huts	-25.5252777777778	28.0552777777778
Boipatong				RSA	Gauteng	Gebied-Dorp	Town	-26.67	27.8527777777778
Boitumelong				RSA	North West	Gebied-Dorp	Town	-27.6388888888889	25.5697222222222
Boitumelong				RSA	Free State	Gebied-Dorp	Urban Area	-29.3969444444444	24.9916666666667
Bojwana				RSA	Mpumalanga	Nedersetting	Town	-25.1469444444444	31.1580555555556
Bokbaai				RSA	Western Cape	Baai	Bay	-33.57	18.3283333333333
Boknesstrand				RSA	Eastern Cape	Dorp	Sandy Area	-33.7283333333333	26.5855555555556
Boksburg				RSA	Gauteng	Stad	Station	-26.2183333333333	28.2413888888889
Boksburg				RSA	Gauteng	Stad	Urban Area	-26.2125	28.2625
Bolo				RSA	Eastern Cape	Dorp	Town	-32.3797222222222	27.6313888888889
Bolo				RSA	Eastern Cape	Dorp	Mouth	-32.3391666666667	27.7191666666667
Bond's Drift				RSA	KwaZulu-Natal	Dorp	Bridge	-29.1738888888889	31.4222222222222
Bongolethu				RSA	Western Cape	Nedersetting	Urban Area	-33.5972222222222	22.2455555555556
Bonnievale				RSA	Western Cape	Dorp	Station	-33.9369444444444	20.1144444444444
Bonnievale				RSA	Western Cape	Dorp	Urban Area	-33.9275	20.1005555555556
Bontheuwel				RSA	Western Cape	Gebied-Dorp	Kop	-33.0608333333333	18.0561111111111
Bontheuwel				RSA	Western Cape	Gebied-Dorp	Urban Area	-33.9491666666667	18.5530555555556
Bontheuwel				RSA	Western Cape	Gebied-Dorp	Station	-33.9416666666667	18.55
Bontrug				RSA	Eastern Cape	Gebied-Dorp	Town	-33.3963888888889	25.4822222222222
Bontrug				RSA	Eastern Cape	Gebied-Dorp	Kop	-33.4022222222222	25.5222222222222
Bontrug				RSA	Eastern Cape	Gebied-Dorp	Ridge	-33.5361111111111	26.2283333333333
Booysens				RSA	Gauteng	Voorstad	Town	-25.7097222222222	28.1266666666667
Booysens				RSA	Gauteng	Voorstad	Station	-26.2244444444444	28.0408333333333
Booysens				RSA	Gauteng	Voorstad	Town	-26.2291666666667	28.0247222222222
Bophelong				RSA	Gauteng	Gebied-Dorp	Town	-26.6941666666667	27.7991666666667
Bordeaux				RSA	Limpopo	Voorstad	Group of huts	-24.0802777777778	30.3519444444444
Bordeaux				RSA	Gauteng	Voorstad	Urban Area	-26.0963888888889	28.0136111111111
Borwalathoto				RSA	Limpopo	Dorp	Town	-23.0719444444444	28.7180555555556
Bosbokrand				RSA	Mpumalanga	Dorp	Town	-24.8455555555556	31.0586111111111
Bosbokrand				RSA	Mpumalanga	Dorp	Mountain	-24.8491666666667	31.0605555555556
Bosfontein				RSA	Mpumalanga	Gebied-Dorp	Town	-25.7419444444444	31.6169444444444
Boshoek				RSA	North West	Nedersetting	Station	-25.4952777777778	27.1011111111111
Boshoek				RSA	KwaZulu-Natal	Nedersetting	Urban Area	-27.81	31.1069444444444
Boshoek				RSA	Western Cape	Nedersetting	Area	-32.3630555555556	19.0794444444444
Boshoek				RSA	Western Cape	Nedersetting	Kloof	-32.4572222222222	21.2844444444444
Boshoek				RSA	North West	Nedersetting	Town	-25.48009	27.096303
Boshof				RSA	Free State	Dorp	Town	-28.5391666666667	25.2380555555556
Boskop				RSA	North West	Dorp	Kop	-25.1041666666667	27.5330555555556
Boskop				RSA	Mpumalanga	Dorp	Kop	-25.8077777777778	30.5383333333333
Boskop				RSA	North West	Dorp	Kop	-26.2136111111111	26.6355555555556
Boskop				RSA	Gauteng	Dorp	Kop	-26.0908333333333	27.9527777777778
Boskop				RSA	North West	Dorp	Station	-26.5644444444444	27.1288888888889
Boskop				RSA	North West	Dorp	Town	-26.5652777777778	27.1283333333333
Boskop				RSA	Gauteng	Dorp	Kop	-26.8697222222222	28.2594444444444
Boskop				RSA	Free State	Dorp	Kop	-27.0644444444444	28.3569444444444
Boskop				RSA	Free State	Dorp	Kop	-28.1766666666667	25.6255555555556
